frame,time_s,terrain_mean,splash_pixels,stem_color_pixels,upper_stem_pixels,stem_top_y
487,8.116667,16.576,309,787,106,362.0
488,8.133333,16.581,285,745,114,396.0
489,8.15,16.589,261,563,81,404.0
490,8.166667,16.588,244,446,74,436.0
491,8.183333,16.593,5762,215,0,468.0
492,8.2,16.601,5714,88,0,492.0
493,8.216667,16.603,5687,261,0,522.0
494,8.233333,16.593,5909,139,0,539.0
495,8.25,16.588,5604,399,0,526.0
496,8.266667,16.572,5845,551,0,527.0
497,8.283333,16.568,6376,560,0,540.0
498,8.3,16.56,6075,529,0,544.0
499,8.316667,16.54,6417,437,0,542.0
500,8.333333,16.536,6469,320,0,542.0
501,8.35,16.54,5775,191,0,552.0
502,8.366667,16.53,5515,193,0,540.0
503,8.383333,16.52,4810,107,0,542.0
504,8.4,16.525,4671,161,0,542.0
505,8.416667,16.517,4310,127,0,541.0
506,8.433333,16.517,3869,176,0,538.0
507,8.45,16.533,3294,109,0,527.0
508,8.466667,16.524,3107,145,0,522.0
509,8.483333,16.53,2567,290,0,528.0
510,8.5,16.539,2549,288,0,526.0
511,8.516667,16.548,2307,324,0,513.0
512,8.533333,16.549,1983,310,0,510.0
513,8.55,16.565,2004,536,0,508.0
514,8.566667,16.565,1676,656,0,506.0
515,8.583333,16.571,1362,488,0,514.0
516,8.6,16.575,1180,458,0,511.0
517,8.616667,16.087,553,425,0,504.0
518,8.633333,15.222,293,297,0,540.0
519,8.65,17.654,173,238,0,584.0
520,8.666667,21.813,91,133,0,588.0
521,8.683333,26.958,45,256,0,616.0
522,8.7,28.532,50,419,120,280.0
523,8.716667,34.156,265,90,0,634.0
524,8.733333,36.99,523,27,1,651.0
525,8.75,35.124,990,825,821,280.0
526,8.766667,33.85,1340,1677,1671,280.0
527,8.783333,33.874,1537,1815,1815,280.0
528,8.8,33.312,1668,2287,2287,280.0
529,8.816667,33.613,1852,6240,6240,280.0
530,8.833333,35.22,1980,6881,6881,280.0
531,8.85,35.889,2056,7579,7504,280.0
532,8.866667,35.863,2034,8313,8217,280.0
533,8.883333,34.166,1926,10261,9874,280.0
534,8.9,32.661,1878,12977,12191,280.0
535,8.916667,32.682,1779,12952,12194,280.0
536,8.933333,32.663,1620,12999,12204,280.0
537,8.95,32.645,1628,12991,12158,280.0
538,8.966667,32.619,1620,13009,12191,280.0
539,8.983333,32.61,1621,13050,12203,280.0
540,9.0,32.482,1622,13240,12521,280.0
541,9.016667,32.489,1643,13227,12505,280.0
542,9.033333,32.505,1644,13200,12498,280.0
543,9.05,32.499,1666,13236,12505,280.0
544,9.066667,32.49,1627,13206,12490,280.0
545,9.083333,32.504,1619,13146,12466,280.0
